    index   n  totalPercent   earned
184   DPS  35           0.7  104.88%
185   DPS  36           0.7  105.48%
186   DPS  37           0.7  114.27%
187   DPS  38           0.7  110.94%
188   DPS  39           0.7  113.16%
189   DPS  40           0.7  108.62%
190   DPS  41           0.7  115.87%
191   DPS  42           0.7  116.27%
192   DPS  43           0.7  115.57%
193   DPS  44           0.7  116.29%
194   DPS  45           0.7  114.24%
195   DPS  46           0.7  114.47%
196   DPS  47           0.7  116.02%
197   DPS  48           0.7  111.07%
198   DPS  49           0.7  112.27%
199   DPS  50           0.7  109.41%
200   PER   1           0.7   32.97%
201   PER   2           0.7  -35.27%
202   PER   3           0.7  -10.99%
203   PER   4           0.7  -17.45%
204   PER   5           0.7    40.8%
205   PER   6           0.7   12.37%
206   PER   7           0.7   41.27%
207   PER   8           0.7   22.84%
208   PER   9           0.7   40.97%
209   PER  10           0.7   60.39%
210   PER  11           0.7    55.9%
211   PER  12           0.7   44.99%
212   PER  13           0.7   47.68%
213   PER  14           0.7    50.1%
214   PER  15           0.7   45.75%
215   PER  16           0.7   41.34%
216   PER  17           0.7   36.34%
217   PER  18           0.7   31.69%
218   PER  19           0.7   43.56%
219   PER  20           0.7   46.69%
220   PER  21           0.7   48.27%
221   PER  22           0.7   47.96%
222   PER  23           0.7    53.9%
223   PER  24           0.7   60.27%
224   PER  25           0.7   62.01%
225   PER  26           0.7   61.96%
226   PER  27           0.7   63.38%
227   PER  28           0.7   56.55%
228   PER  29           0.7   65.81%
229   PER  30           0.7   64.36%
230   PER  31           0.7   65.71%
231   PER  32           0.7   68.23%
232   PER  33           0.7   69.54%
233   PER  34           0.7   74.31%
234   PER  35           0.7    71.3%
235   PER  36           0.7   69.22%
236   PER  37           0.7   65.73%
237   PER  38           0.7   68.73%
238   PER  39           0.7   70.84%
239   PER  40           0.7    65.6%
240   PER  41           0.7   65.27%
241   PER  42           0.7   64.87%
242   PER  43           0.7   63.58%
243   PER  44           0.7   64.83%
244   PER  45           0.7    64.1%
245   PER  46           0.7   62.82%
246   PER  47           0.7   59.24%
247   PER  48           0.7   57.51%
248   PER  49           0.7   42.13%
249   PER  50           0.7   39.26%
250   PBR   1           0.7    73.1%
251   PBR   2           0.7  -18.86%
252   PBR   3           0.7   -0.92%
253   PBR   4           0.7   39.62%
254   PBR   5           0.7   63.29%
255   PBR   6           0.7   60.92%
256   PBR   7           0.7   72.73%
257   PBR   8           0.7   84.65%
258   PBR   9           0.7   72.82%
259   PBR  10           0.7   65.27%
260   PBR  11           0.7   63.78%
261   PBR  12           0.7   58.16%
262   PBR  13           0.7   55.36%
263   PBR  14           0.7   59.15%
264   PBR  15           0.7   66.19%
265   PBR  16           0.7   61.57%
266   PBR  17           0.7   62.47%
267   PBR  18           0.7   61.48%
268   PBR  19           0.7   49.52%
269   PBR  20           0.7   56.93%
270   PBR  21           0.7   51.52%
271   PBR  22           0.7   50.11%
272   PBR  23           0.7   42.99%
273   PBR  24           0.7    44.4%
274   PBR  25           0.7   46.51%
275   PBR  26           0.7   45.51%
276   PBR  27           0.7   49.94%
277   PBR  28           0.7   45.09%
278   PBR  29           0.7   45.28%
279   PBR  30           0.7   44.78%
280   PBR  31           0.7   45.85%
281   PBR  32           0.7   46.12%
282   PBR  33           0.7   49.68%
283   PBR  34           0.7   51.69%
284   PBR  35           0.7    48.3%
285   PBR  36           0.7   57.04%
286   PBR  37           0.7   55.89%
287   PBR  38           0.7   57.08%
288   PBR  39           0.7   51.62%
289   PBR  40           0.7   49.48%
290   PBR  41           0.7   47.12%
291   PBR  42           0.7   46.15%
292   PBR  43           0.7   46.03%
293   PBR  44           0.7   45.87%
294   PBR  45           0.7   46.74%
295   PBR  46           0.7   50.37%
296   PBR  47           0.7   45.51%
297   PBR  48           0.7   48.54%
298   PBR  49           0.7   46.87%
299   PBR  50           0.7   50.39%
