     index   k   n   earned
199  영업이익률  19  30   71.28%
200  영업이익률  20  30    39.7%
201  영업이익률  21  30   31.92%
202  영업이익률  22  30   17.26%
203  영업이익률  23  30  130.19%
204  영업이익률  24  30    71.1%
205  영업이익률  25  30   37.91%
206  영업이익률  26  30   91.32%
207  영업이익률  27  30   64.65%
208  영업이익률  28  30     6.0%
209  영업이익률  29  30    80.0%
210    ROA   0  30   14.44%
211    ROA   1  30   10.11%
212    ROA   2  30   56.25%
213    ROA   3  30   70.03%
214    ROA   4  30   18.54%
215    ROA   5  30   32.34%
216    ROA   6  30   18.86%
217    ROA   7  30   74.95%
218    ROA   8  30   36.73%
219    ROA   9  30   35.23%
220    ROA  10  30   70.05%
221    ROA  11  30   44.64%
222    ROA  12  30    68.0%
223    ROA  13  30   65.24%
224    ROA  14  30   51.03%
225    ROA  15  30   107.6%
226    ROA  16  30   84.78%
227    ROA  17  30   23.79%
228    ROA  18  30   21.94%
229    ROA  19  30   71.36%
230    ROA  20  30   73.91%
231    ROA  21  30   72.53%
232    ROA  22  30   50.96%
233    ROA  23  30   45.25%
234    ROA  24  30   67.51%
235    ROA  25  30   62.34%
236    ROA  26  30   42.15%
237    ROA  27  30   98.76%
238    ROA  28  30   93.34%
239    ROA  29  30   94.04%
240    ROE   0  30    2.88%
241    ROE   1  30    80.0%
242    ROE   2  30   56.31%
243    ROE   3  30   91.18%
244    ROE   4  30   19.58%
245    ROE   5  30   12.78%
246    ROE   6  30   55.36%
247    ROE   7  30   12.11%
248    ROE   8  30   77.68%
249    ROE   9  30   30.36%
250    ROE  10  30  122.36%
251    ROE  11  30    79.9%
252    ROE  12  30   43.28%
253    ROE  13  30    66.5%
254    ROE  14  30   77.08%
255    ROE  15  30   76.22%
256    ROE  16  30   44.11%
257    ROE  17  30   30.05%
258    ROE  18  30   51.66%
259    ROE  19  30   15.81%
260    ROE  20  30    46.2%
261    ROE  21  30   33.61%
262    ROE  22  30   49.99%
263    ROE  23  30   41.91%
264    ROE  24  30   68.73%
265    ROE  25  30   56.17%
266    ROE  26  30   76.62%
267    ROE  27  30    69.3%
268    ROE  28  30   92.27%
269    ROE  29  30  111.53%
270    EPS   0  30    58.8%
271    EPS   1  30   22.22%
272    EPS   2  30   36.99%
273    EPS   3  30   47.23%
274    EPS   4  30  113.17%
275    EPS   5  30   24.15%
276    EPS   6  30  100.28%
277    EPS   7  30   52.28%
278    EPS   8  30   95.11%
279    EPS   9  30   48.11%
280    EPS  10  30   82.36%
281    EPS  11  30   48.53%
282    EPS  12  30  112.49%
283    EPS  13  30   91.68%
284    EPS  14  30   63.52%
285    EPS  15  30   88.12%
286    EPS  16  30   61.94%
287    EPS  17  30   92.58%
288    EPS  18  30   84.47%
289    EPS  19  30    19.5%
290    EPS  20  30   32.32%
291    EPS  21  30   48.65%
292    EPS  22  30   24.56%
293    EPS  23  30   14.21%
294    EPS  24  30   66.36%
295    EPS  25  30   26.44%
296    EPS  26  30   44.76%
297    EPS  27  30   68.74%
298    EPS  28  30   57.82%
299    EPS  29  30   38.14%
300    BPS   0  30   93.72%
301    BPS   1  30  109.93%
302    BPS   2  30   38.75%
303    BPS   3  30   97.29%
304    BPS   4  30  150.05%
305    BPS   5  30  114.62%
306    BPS   6  30   32.58%
307    BPS   7  30    83.6%
308    BPS   8  30   26.63%
309    BPS   9  30   58.89%
310    BPS  10  30   72.09%
311    BPS  11  30  134.73%
312    BPS  12  30   36.66%
313    BPS  13  30   62.15%
314    BPS  14  30   44.79%
315    BPS  15  30   71.97%
316    BPS  16  30   58.46%
317    BPS  17  30   39.83%
318    BPS  18  30   43.85%
319    BPS  19  30   34.58%
320    BPS  20  30   28.17%
321    BPS  21  30   41.98%
322    BPS  22  30   30.65%
323    BPS  23  30   46.29%
324    BPS  24  30   52.53%
325    BPS  25  30   20.33%
326    BPS  26  30   48.33%
327    BPS  27  30    38.4%
328    BPS  28  30   65.92%
329    BPS  29  30    63.0%
330    DPS   0  30   51.83%
331    DPS   1  30  196.29%
332    DPS   2  30   112.0%
333    DPS   3  30   77.43%
334    DPS   4  30   49.97%
335    DPS   5  30   34.62%
336    DPS   6  30   59.86%
337    DPS   7  30   65.86%
338    DPS   8  30   56.13%
339    DPS   9  30   44.13%
340    DPS  10  30    67.7%
341    DPS  11  30   43.22%
342    DPS  12  30   71.85%
343    DPS  13  30   68.74%
344    DPS  14  30    51.8%
345    DPS  15  30   12.01%
346    DPS  16  30   64.82%
347    DPS  17  30   63.11%
348    DPS  18  30   37.55%
349    DPS  19  30   48.56%
350    DPS  20  30   52.33%
351    DPS  21  30   27.08%
352    DPS  22  30   56.87%
353    DPS  23  30   80.29%
354    DPS  24  30   41.78%
355    DPS  25  30   60.69%
356    DPS  26  30   60.44%
357    DPS  27  30   38.61%
358    DPS  28  30    26.0%
359    DPS  29  30   60.06%
360    PER   0  30   42.72%
361    PER   1  30  154.69%
362    PER   2  30   18.12%
363    PER   3  30   83.65%
364    PER   4  30   73.28%
365    PER   5  30   93.82%
366    PER   6  30   65.81%
367    PER   7  30   52.63%
368    PER   8  30   59.74%
369    PER   9  30   32.13%
370    PER  10  30   47.93%
371    PER  11  30   50.87%
372    PER  12  30   57.13%
373    PER  13  30    79.8%
374    PER  14  30    76.2%
375    PER  15  30   37.68%
376    PER  16  30   54.61%
377    PER  17  30   80.99%
378    PER  18  30   61.71%
379    PER  19  30   36.29%
380    PER  20  30    6.58%
381    PER  21  30  124.14%
382    PER  22  30   23.64%
383    PER  23  30   47.65%
384    PER  24  30   64.06%
385    PER  25  30   84.99%
386    PER  26  30   63.95%
387    PER  27  30   62.93%
388    PER  28  30   31.72%
389    PER  29  30    33.8%
390    PBR   0  30   82.06%
391    PBR   1  30   87.65%
392    PBR   2  30  101.57%
393    PBR   3  30   72.36%
394    PBR   4  30   52.04%
395    PBR   5  30    62.4%
396    PBR   6  30   99.19%
397    PBR   7  30  101.41%
398    PBR   8  30  101.18%
399    PBR   9  30   35.19%
400    PBR  10  30  104.17%
401    PBR  11  30  105.38%
402    PBR  12  30   29.71%
403    PBR  13  30    9.75%
404    PBR  14  30   40.38%
405    PBR  15  30   53.87%
406    PBR  16  30   35.49%
407    PBR  17  30   62.72%
408    PBR  18  30   41.56%
409    PBR  19  30   93.09%
410    PBR  20  30    45.1%
411    PBR  21  30   25.12%
412    PBR  22  30   82.22%
413    PBR  23  30   57.82%
414    PBR  24  30   22.25%
415    PBR  25  30   29.56%
416    PBR  26  30   45.64%
417    PBR  27  30   51.71%
418    PBR  28  30   47.31%
419    PBR  29  30   12.98%
420  배당수익률   0  30   50.62%
421  배당수익률   1  30   61.88%
422  배당수익률   2  30    1.99%
423  배당수익률   3  30   36.69%
424  배당수익률   4  30   39.64%
425  배당수익률   5  30   22.22%
426  배당수익률   6  30   52.08%
427  배당수익률   7  30   64.87%
428  배당수익률   8  30    64.8%
429  배당수익률   9  30   39.07%
430  배당수익률  10  30   68.21%
431  배당수익률  11  30   40.57%
432  배당수익률  12  30   49.56%
433  배당수익률  13  30   61.76%
434  배당수익률  14  30   68.06%
435  배당수익률  15  30   43.15%
